lat,lng,name,location,mday,total,bikes,parks
25.04003,121.53299,"Ln. 119, Sec. 1, Xinsheng S. Rd Intersection","No. 113, Ln. 119, Sec. 1, Xinsheng S. Rd.",2024-06-23 08:51:20,33,14,19
25.03753,121.53523,Xing'an Elementary School (Ren'ai Rd),"No. 22, Sec. 3, Ren'ai Rd.",2024-06-23 08:50:31,16,4,12
25.03534,121.53540,Minrong Park,"No. 45, Ln. 304, Sec. 1, Jianguo S. Rd. (South)",2024-06-23 08:48:20,15,9,6
25.03701,121.54348,"Ln. 340, Sec. 1, Fuxing S. Rd Intersection","Sec. 1, Fuxing S. Rd & Aly. 45, Ln. 147, Sec. 3, Xinyi Rd Intersection.",2024-06-23 08:50:31,50,27,23
25.03935,121.53828,"Sec. 1, Jianguo S. Rd & Sec. 3, Jinan Rd Intersection","Sec. 1, Jianguo S. Rd & Sec. 3, Jinan Rd Intersection. (Southeast)",2024-06-23 08:45:22,54,11,43
25.04035,121.54360,MRT Zhongxiao Fuxing Sta (Exit 2),"Sec. 1, Fuxing S. R & Aly. 13, Ln. 123, Sec. 3, Ren'ai Rd. (Northwest)",2024-06-23 08:51:20,43,14,29
25.03320,121.54390,MRT Da’an Sta (Exit 4),"No. 6, Sec. 4, Xinyi Rd.",2024-06-23 08:51:20,13,9,4
25.03358,121.54141,MRT Da’an Sta (Exit 2),"No. 143, Sec. 3, Xinyi Rd.",2024-06-23 08:33:20,22,8,14
25.03317,121.54639,"Sec. 4, Xinyi Rd & Da’an Rd Intersection (Xinwei Building)","No. 74, Sec. 4, Xinyi Rd.",2024-06-23 08:50:31,18,14,4
25.04092,121.54825,Long Men Plaza,"Sec. 1, Dunhua S. Rd & Ln. 236, Sec. 1, Dunhua S. Rd Intersection.",2024-06-23 08:50:31,70,10,60
25.03754,121.55285,"Sec. 4, Ren'ai Rd & Sec. 1, Anhe Rd Intersection","No. 74, Sec. 4, Ren'ai Rd.",2024-06-23 08:48:20,33,3,30
25.03333,121.54977,"Sec. 4, Xinyi Rd & Sec. 1, Dunhua S. Rd Intersection","No. 155, Sec. 4, Xinyi Rd",2024-06-23 08:49:20,52,26,25
25.03706,121.55166,Ren Ai Junior High School,"No. 75, Sec. 1, Anhe Rd.",2024-06-23 08:08:20,25,2,23
25.03304,121.55171,MRT Xinyi Anhe Sta (Exit 2),"No. 188, Sec. 4, Xinyi Rd",2024-06-23 08:46:20,24,3,20
25.04463,121.53665,Bade Traditional Market,"No. 170, Sec. 3, Civic Blvd.",2024-06-23 08:49:20,30,18,12
25.04448,121.53946,Changlong Park,"No. 206, Sec. 3, Civic Blvd. (West)",2024-06-23 08:40:31,16,9,7
25.03332,121.53435,MRT Daan Park Sta. (Exit 2),MRT Daan Park Sta. (Exit 2) (West),2024-06-23 08:50:31,69,52,17
25.03318,121.55725,"Sec. 4,Xinyi Rd & Yanji St Intersection","No. 353, Sec. 4, Xinyi Rd.",2024-06-23 08:47:20,15,3,12
25.03513,121.55610,"Guangxin Park (Ln. 456, Guangfu S. Rd)","No. 249, Yanji St.",2024-06-23 08:51:20,25,15,10
25.03910,121.55690,Qiao An Dixia Parking (Exit 2) (Southeast),"No. 5, Ln. 290, Guangfu S. Rd",2024-06-23 08:42:19,20,2,18
25.03635,121.53833,"Ln. 279, Sec. 1, Jianguo S. Rd Intersection","No. 275, Sec. 1, Jianguo S. Rd.",2024-06-23 08:50:31,32,2,30
25.04091,121.53295,MRT Zhongxiao Xinsheng Sta. (Exit 6),"No. 101, Sec. 1, Xinsheng S. Rd.",2024-06-23 08:50:30,15,5,10
25.04239,121.53324,MRT Zhongxiao Xinsheng Sta. (Exit 4),Zhongxiao & Xinsheng S. Rd Intersection. (North),2024-06-23 08:50:31,34,3,31
25.03126,121.54339,Daan Vocational High School,"No. 52, Sec. 2, Fuxing S. Rd.",2024-06-23 08:48:20,23,16,7
25.04189,121.53376,MRT Zhongxiao Xinsheng Sta. (Exit 3),"Sec. 3, Zhongxiao E. Rd & Ln. 10, Sec. 3, Zhongxiao E. Rd Intersection",2024-06-23 08:47:20,23,16,7
25.04201,121.54612,Liugong Park,"Aly. 4, Ln. 49, Sec. 4, Zhongxiao E. Rd./Da'an Rd. Intersection",2024-03-30 08:59:14,20,0,20
25.04405,121.54860,Dunhua S. Rd. & Civic Blvd. Intersection,"No. 158, Sec. 1, Dunhua S. Rd.",2024-06-23 08:50:31,23,2,21
25.03336,121.53640,MRT Daan Park Sta. (Exit 5),MRT Daan Park Sta. (Exit 5) (East),2024-06-23 08:50:25,15,15,0
25.03280,121.53746,Xinyi Rd. & Jianguo Rd. Intersection,"Sec. 2, Jianguo S Rd. & Sec. 3, Xinyi Rd. Intersection (Southwest)",2024-06-23 08:51:20,52,48,4
25.03569,121.54510,Dongfeng Park,"No. 24, Dongfeng St.",2024-06-23 08:50:31,19,15,4
25.03473,121.54767,Dean Park,"No. 6, Ln. 66, Siwei Rd.",2024-06-23 08:50:31,14,6,8
25.04262,121.54443,MRT Zhongxiao Fuxing Sta (Exit 5),"No. 3, Ln. 135, Sec. 1, Fuxing S. Rd. (Opposite)",2024-01-14 04:19:10,41,0,41
25.04153,121.55240,MRT Zhongxiao Dunhua Sta. (Exit 2),"No. 221, Sec. 4, Zhongxiao E. Rd.",2024-06-23 08:49:20,17,7,9
25.04159,121.54937,MRT Zhongxiao Dunhua Sta. (Exit 7),"No. 143, Sec. 4, Zhongxiao E. Rd.",2024-06-23 08:47:19,18,2,16
25.04427,121.55291,"Ln. 223, Sec. 4, Zhongxiao E. Rd. Intersection","No. 77, Ln. 223, Sec. 4, Zhongxiao E. Rd. (North)",2024-06-23 07:54:19,25,6,19
25.02979,121.54053,"Ln. 208, Rui'an St.","No. 39, Ln. 208, Rui'an St. (Opposite)",2024-06-23 08:50:25,15,1,14
25.02770,121.55132,"Ln. 21, Leli Rd. Intersection","No. 25, Leli Rd.",2024-06-23 08:50:25,17,14,1
25.02469,121.54459,MRT Technology Building Station,"No. 134, Sec. 2, Heping E. Rd.",2024-06-23 08:50:31,54,46,8
25.04122,121.55745,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec. 4, Jhongsiao E. Rd. & Guangfu S. Rd. Intersection (Southwest)",2024-06-23 08:46:20,45,15,30
25.03756,121.54587,Taipei City Hospital Renai Branch,"Sec. 4, Ren'ai Rd. & Sec. 1, Da'an Rd. Intersection (Southwest)",2024-06-23 08:49:20,36,9,27
25.03305,121.55378,MRT Xinyi Anhe Sta.(Exit.4),"No. 252, Sec. 4, Sinyi Rd.",2024-06-23 08:51:20,49,44,5
25.02681,121.54668,Chengong Public Housing,"Ln. 1, Sec. 3, Heping E. Rd. & Ln. 198, Sihwei Rd. Intersection (Northwest)",2024-06-23 08:51:20,36,21,15
25.03748,121.55564,Renai & Yanji Intersection,"No. 376, Sec. 4, Ren'ai Rd.",2024-06-23 08:51:20,33,8,25
25.03331,121.55265,MRT Xinyi Anhe Sta.(Exit.1),"No. 225, Sec. 4, Sinyi Rd.",2024-06-23 08:50:31,33,16,17
25.02870,121.54904,"Ln. 103,Sec. 2,Dunhua S. Rd.","No. 99, Sec. 2, Dunhua S. Rd.",2024-06-23 08:51:20,24,12,12
25.02861,121.54336,"Ln. 128, Sec. 2, Fuxing S. Rd.","No. 142-1, Sec. 2, Fusing S. Rd.",2024-06-23 08:51:20,37,12,25
25.02575,121.53770,Heping E. Rd. & Jianguo S. Rd. Intersection,Heping E. Rd. & Jianguo S. Rd. Intersection (North),2024-06-23 08:51:20,17,7,10
25.01223,121.54788,Fanglan,"No. 148, Ln. 155, Sec. 3, Keelung Rd.",2024-06-23 08:27:20,16,15,1
25.04311,121.54313,"Ln. 126, Sec. 1, Fuxing S. Rd.","No. 1, Ln. 126, Sec. 1, Fuxing S. Rd.",2024-06-23 08:51:20,15,1,14
25.03363,121.52962,MRT Dongmen Sta. (Exit 5),"No. 178, Sec. 2, Xinyi Rd.",2024-06-23 08:49:20,28,19,9
25.03609,121.54709,"Ln. 48, Sec. 4, Ren'ai Rd.","Ln. 48, Sec. 4, Ren'ai Rd. & Dongfeng St. Intersection (North)",2024-06-23 08:45:22,11,5,6
